"Date (TU),""Valeur (en m³/s)"",""Statut"",""Qualification"",""Méthode"",""Continuité"""
"2014-11-25T00:00:00.000Z,""1150"",""4"",16,8,0"
"2014-11-26T00:00:00.000Z,""1150"",""4"",16,8,0"
"2014-11-27T00:00:00.000Z,""1100"",""4"",16,8,0"
"2014-11-28T00:00:00.000Z,""1070"",""4"",16,8,0"
"2014-11-29T00:00:00.000Z,""1020"",""4"",16,8,0"
"2014-11-30T00:00:00.000Z,""1020"",""4"",16,8,0"
"2014-12-01T00:00:00.000Z,""976"",""4"",16,8,0"
"2014-12-02T00:00:00.000Z,""968"",""4"",16,8,0"
"2014-12-03T00:00:00.000Z,""977"",""4"",16,8,0"
"2014-12-04T00:00:00.000Z,""944"",""4"",16,8,0"
"2014-12-05T00:00:00.000Z,""936"",""4"",16,8,0"
"2014-12-06T00:00:00.000Z,""912"",""4"",16,8,0"
"2014-12-07T00:00:00.000Z,""869"",""4"",16,8,0"
"2014-12-08T00:00:00.000Z,""836"",""4"",16,8,0"
"2014-12-09T00:00:00.000Z,""848"",""4"",16,8,0"
"2014-12-10T00:00:00.000Z,""861"",""4"",16,8,0"
"2014-12-11T00:00:00.000Z,""821"",""4"",16,8,0"
"2014-12-12T00:00:00.000Z,""816"",""4"",16,8,0"
"2014-12-13T00:00:00.000Z,""810"",""4"",16,8,0"
"2014-12-14T00:00:00.000Z,""791"",""4"",16,8,0"
"2014-12-15T00:00:00.000Z,""811"",""4"",16,8,0"
"2014-12-16T00:00:00.000Z,""839"",""4"",16,8,0"
"2014-12-17T00:00:00.000Z,""818"",""4"",16,8,0"
"2014-12-18T00:00:00.000Z,""959"",""4"",16,8,0"
"2014-12-19T00:00:00.000Z,""1130"",""4"",16,8,0"
"2014-12-20T00:00:00.000Z,""1200"",""4"",16,8,0"
"2014-12-21T00:00:00.000Z,""1210"",""4"",16,8,0"
"2014-12-22T00:00:00.000Z,""1090"",""4"",16,8,0"
"2014-12-23T00:00:00.000Z,""1020"",""4"",16,8,0"
"2014-12-24T00:00:00.000Z,""966"",""4"",16,8,0"
"2014-12-25T00:00:00.000Z,""933"",""4"",16,8,0"
"2014-12-26T00:00:00.000Z,""883"",""4"",16,8,0"
"2014-12-27T00:00:00.000Z,""897"",""4"",16,8,0"
"2014-12-28T00:00:00.000Z,""988"",""4"",16,8,0"
"2014-12-29T00:00:00.000Z,""934"",""4"",16,8,0"
"2014-12-30T00:00:00.000Z,""891"",""4"",16,8,0"
"2014-12-31T00:00:00.000Z,""859"",""4"",16,8,0"
"2015-01-01T00:00:00.000Z,""880"",""4"",16,8,0"
"2015-01-02T00:00:00.000Z,""839"",""4"",16,8,0"
"2015-01-03T00:00:00.000Z,""946"",""4"",16,8,0"
